frame_idx_global,session,row,phaseg_correct_red,phaseg_shuf_red,phaseg_fake5k_red,phaseg_fake25k_red,phaseg_fake70k_red,phaseg_fake100k_red,delta_red_shuf,delta_red_fake100k,binder_e2fp16_red,ae64f_correct_red,z_correct_mean,z_correct_p95,z_shuf_mean,z_shuf_p95,z_fake100k_mean,z_fake100k_p95,excess_shuf_mean,excess_shuf_p95,excess_shuf_red,excess_fake100k_mean,excess_fake100k_p95,excess_fake100k_red,has_real,has_shuf,has_fake5k,has_fake25k,has_fake70k,has_fake100k,has_binder,has_ae
0,D2,0,0.00435,0.07328,0.09456,0.06956,0.06710,0.06512,0.06893,0.06077,0.00047,0.02053,1.0241,3.0477,4.0167,14.5879,3.6301,13.7747,1.5068,4.0000,0.43134,1.3926,4.0000,0.39856,1,1,1,1,1,1,1,1
1,D2,1,0.00568,0.08020,0.08521,0.06150,0.05874,0.05465,0.07452,0.04897,0.00053,0.01925,1.0412,3.0813,4.2063,15.2944,3.4414,12.7579,1.5560,4.0000,0.44250,1.3361,4.0000,0.38348,1,1,1,1,1,1,1,1
2,D2,2,0.00537,0.07994,0.09654,0.07257,0.06649,0.06313,0.07456,0.05776,0.00031,0.01921,1.0339,2.9762,4.2135,15.3529,3.5711,13.6584,1.5798,4.0000,0.45290,1.3427,4.0000,0.38312,1,1,1,1,1,1,1,1
3,D2,3,0.00596,0.07172,0.09983,0.07438,0.07190,0.06781,0.06576,0.06185,0.00014,0.02252,1.0693,3.1945,4.0213,14.5778,3.6706,14.2670,1.5014,4.0000,0.43339,1.3685,4.0000,0.39111,1,1,1,1,1,1,1,1
4,D2,4,0.00466,0.08403,0.09847,0.07338,0.06427,0.05764,0.07937,0.05298,0.00035,0.01967,1.0851,3.3585,4.3022,15.9230,3.4231,13.2019,1.5483,4.0000,0.44196,1.2733,4.0000,0.36629,1,1,1,1,1,1,1,1
5,D2,5,0.00555,0.07385,0.09967,0.07320,0.06596,0.05806,0.06830,0.05251,0.00006,0.02352,1.0570,3.0831,4.0952,14.5082,3.3727,13.2102,1.5565,4.0000,0.44946,1.2590,4.0000,0.36153,1,1,1,1,1,1,1,1
6,D2,6,0.00374,0.07408,0.09825,0.06832,0.05900,0.05573,0.07033,0.05198,0.00094,0.01186,1.0473,3.1066,4.0290,14.6067,3.4151,12.8878,1.5013,4.0000,0.42932,1.3072,4.0000,0.37474,1,1,1,1,1,1,1,1
7,D2,7,0.00480,0.07149,0.11043,0.07664,0.07001,0.06445,0.06669,0.05965,0.00026,0.01337,1.0288,2.9906,4.1919,14.3039,3.5502,13.7602,1.6592,4.0000,0.47648,1.3441,4.0000,0.38391,1,1,1,1,1,1,1,1
8,D2,8,0.00553,0.08551,0.09703,0.07174,0.06445,0.05741,0.07998,0.05188,0.00120,0.02053,1.0783,3.1573,4.2037,15.9303,3.3927,13.1366,1.4921,4.0000,0.42045,1.2539,4.0000,0.36041,1,1,1,1,1,1,1,1
9,D2,9,0.00557,0.08380,0.08588,0.07029,0.06364,0.06089,0.07823,0.05532,0.00014,0.02220,1.0333,3.0660,4.1637,15.5816,3.4974,13.4099,1.5230,4.0000,0.43245,1.3421,4.0000,0.38623,1,1,1,1,1,1,1,1
10,D2,10,0.00728,0.07971,0.09489,0.06936,0.06036,0.05721,0.07243,0.04993,0.00096,0.02165,1.0707,3.1237,4.0280,15.4266,3.3329,13.0897,1.4825,4.0000,0.42503,1.2421,4.0000,0.35868,1,1,1,1,1,1,1,1
11,D2,11,0.00612,0.08264,0.08816,0.06673,0.05900,0.05149,0.07652,0.04537,0.00069,0.01762,1.0347,2.9234,4.0067,15.5787,3.2113,12.4546,1.4566,4.0000,0.41374,1.2223,4.0000,0.35579,1,1,1,1,1,1,1,1
12,D2,12,0.00643,0.08518,0.08700,0.06502,0.06498,0.05947,0.07876,0.05304,0.00037,0.02460,1.0378,3.0288,4.2143,15.7119,3.5314,13.3562,1.5322,4.0000,0.43441,1.3542,4.0000,0.38826,1,1,1,1,1,1,1,1
13,D2,13,0.00551,0.06816,0.08915,0.06618,0.05570,0.04844,0.06264,0.04293,0.00059,0.02175,1.0342,3.0501,3.8377,14.0245,3.1652,12.1150,1.4530,4.0000,0.41376,1.1995,4.0000,0.34621,1,1,1,1,1,1,1,1
14,D2,14,0.00541,0.08201,0.09224,0.06675,0.06130,0.05644,0.07660,0.05103,0.00081,0.01436,1.0255,2.9500,4.0822,15.4645,3.4028,13.0095,1.4838,4.0000,0.42098,1.2923,4.0000,0.37207,1,1,1,1,1,1,1,1
15,D2,15,0.00651,0.08112,0.08964,0.06523,0.05788,0.05103,0.07461,0.04451,0.00039,0.02002,1.0774,3.0984,4.2261,15.3425,3.2117,12.4012,1.5719,4.0000,0.45046,1.2251,4.0000,0.35457,1,1,1,1,1,1,1,1
16,D2,16,0.00448,0.07109,0.08301,0.06541,0.06254,0.06047,0.06661,0.05599,0.00047,0.01819,1.0152,2.9276,3.9007,14.4756,3.4709,13.4080,1.4460,4.0000,0.41215,1.3079,4.0000,0.37758,1,1,1,1,1,1,1,1
17,D2,17,0.00521,0.07141,0.08459,0.05833,0.05127,0.04565,0.06620,0.04045,0.00067,0.01831,1.0471,3.0592,3.8615,14.4943,3.1758,11.7875,1.4149,4.0000,0.40363,1.2174,4.0000,0.35321,1,1,1,1,1,1,1,1
