ablation,condition,session,n_frames,auroc,median_delta_score,delta_iqr_low,delta_iqr_high,delta_bootstrap_mean,delta_bootstrap_ci_low,delta_bootstrap_ci_high,regime_classification
E2_seg,fake_5k,D2,50,0.0088,-0.005382994070532731,-0.006252146534097847,-0.0041939601331250735,-0.005169466943363659,-0.005560953352664365,-0.004760989606735528,strong_dependence
E2_seg,fake_5k,V10,56,0.14764030612244897,-0.005619877227582037,-0.008403527010523248,-0.002138906155596487,-0.00452631805258404,-0.005782582876701262,-0.0031721554325460084,strong_dependence
E2_seg,fake_25k,D2,50,0.016,-0.00516383973590564,-0.0061898472340544694,-0.004028771506273188,-0.004971243174630218,-0.005382066013212898,-0.004542902313766535,strong_dependence
E2_seg,fake_25k,V10,56,0.19642857142857142,-0.004510067735100165,-0.007696104834030848,-0.0010118434554897253,-0.003830365776333825,-0.005146385372538914,-0.002435898268044444,strong_dependence
E2_seg,fake_70k,D2,50,0.024,-0.0051287870184751234,-0.005952246884407941,-0.0036945875181118026,-0.004822245987714267,-0.00526523030436656,-0.004370687935050228,strong_dependence
E2_seg,fake_70k,V10,56,0.26052295918367346,-0.003930727014085277,-0.007374760875245556,-8.427197753917452e-05,-0.0030575846411271157,-0.0045507831616253365,-0.0015170526863195325,strong_dependence
E2_seg,fake_100k,D2,50,0.024,-0.00510084466659464,-0.005985227083147039,-0.0036708343628561128,-0.004806113209458999,-0.005241557220704272,-0.0043592113313934535,strong_dependence
E2_seg,fake_100k,V10,56,0.25063775510204084,-0.004294495959766209,-0.007425056889769621,-0.0002236369415186349,-0.003149790030147415,-0.004644183992869719,-0.0016357315637027833,strong_dependence
E2_seg,shuffled_E,D2,50,0.5356,0.00017738459864631226,0.00010357818100601357,0.0002272539248224354,0.00016514856880530713,0.00013263257826329203,0.00019631317769817534,strong_dependence
E2_seg,shuffled_E,V10,56,0.5376275510204082,0.00025966732064262085,0.00019381781166884996,0.00030837608501315143,0.0002634867833486559,0.00023618469512907075,0.0002934031317818153,strong_dependence
E2_seg,cross_session_E,D2,50,0.5356,0.00015630520065315102,9.987775702029449e-05,0.0002478159556631003,0.00016182413173373793,0.00012914340644492765,0.00019319004773569776,strong_dependence
E2_seg,cross_session_E,V10,56,0.5366709183673469,0.0002680741716176282,0.00016753569943830362,0.0003543152619386084,0.00025892527555697596,0.00022935841315951873,0.00028880161337968134,strong_dependence
E3_seg,fake_5k,D2,50,1.0,0.006897689480683767,0.006546947383321822,0.007335885075735859,0.00692761734011583,0.006795074120315257,0.0070684005055896715,weak_dependence
E3_seg,fake_5k,V10,56,1.0,0.00817627295909915,0.007409143722907174,0.009044703753897921,0.009195541137160035,0.008430482211333582,0.01015615006546016,weak_dependence
E3_seg,fake_25k,D2,50,1.0,0.0050840261508710675,0.004751737983315252,0.005422685186204035,0.0051222491874359545,0.005016577583170146,0.005246226193703479,weak_dependence
E3_seg,fake_25k,V10,56,1.0,0.006451502314303071,0.005679872279870324,0.007253079634392634,0.007530402252138759,0.0067111532020421045,0.008532003813286011,weak_dependence
E3_seg,fake_70k,D2,50,1.0,0.004152056778548285,0.003925910010002554,0.004488826457236429,0.004220851811813191,0.004129233642190229,0.004324178480805131,weak_dependence
E3_seg,fake_70k,V10,56,1.0,0.0055224787909537556,0.0047466473071835925,0.006244623693055473,0.006942832364646685,0.005947947305726952,0.008123823549488277,weak_dependence
E3_seg,fake_100k,D2,50,1.0,0.00335082910314668,0.003150446037761867,0.003672594561066944,0.0034009379518684002,0.0033179572148859734,0.003496867342371843,weak_dependence
E3_seg,fake_100k,V10,56,1.0,0.0045718312612734735,0.003871838201303035,0.005318855504447128,0.005972170352678015,0.005008882001654586,0.007115902268643757,weak_dependence
E3_seg,shuffled_E,D2,50,1.0,0.0035134995181579144,0.0034114246780518444,0.003647008811822161,0.003538397183758207,0.0034882724229944873,0.003586367561822408,weak_dependence
E3_seg,shuffled_E,V10,56,1.0,0.00362045323709026,0.0035352578357560555,0.0037300431082257996,0.00361974312784566,0.0035805330788908963,0.0036569367895520235,weak_dependence
E3_seg,cross_session_E,D2,50,1.0,0.003496421649469994,0.0033855525485705588,0.0036633649535360744,0.0035208694058237594,0.0034658399651147196,0.0035757465812901496,weak_dependence
E3_seg,cross_session_E,V10,56,1.0,0.003619641298428178,0.003525896664359607,0.0037368601158959793,0.0036237600690843205,0.003588201883747907,0.0036597334254292947,weak_dependence
