condition,D2_auroc,V10_auroc
wrong_-2,1.0,1.0
wrong_+2,1.0,1.0
wrong_-15,1.0,1.0
wrong_+15,1.0,1.0
wrong_+30,1.0,1.0
uncond,0.9768,0.942
lag_-30,1.0,1.0
lag_-15,1.0,1.0
lag_-5,1.0,1.0
lag_-2,1.0,1.0
lag_-1,1.0,1.0
lag_+0,0.5,0.5
lag_+1,1.0,1.0
lag_+2,1.0,1.0
lag_+5,1.0,1.0
lag_+15,1.0,1.0
lag_+30,1.0,1.0
xof_t1_global_k1,0.503,0.5034
xof_t1_global_k4,0.5031,0.5036
xof_t1_global_k16,0.5033,0.5037
xof_t1_global_k64,0.5043,0.505
xof_t1_global_k256,0.51,0.5083
xof_t1_global_k1024,0.5264,0.5249
xof_t1_global_k4096,0.5994,0.5834
xof_t2_oct0_k1,0.5041,0.505
xof_t2_oct0_k4,0.5088,0.5081
xof_t2_oct0_k16,0.5243,0.5228
xof_t2_oct0_k64,0.5883,0.5679
xof_t2_oct1_k1,0.5034,0.5036
xof_t2_oct1_k4,0.5034,0.5038
xof_t2_oct1_k16,0.505,0.5054
xof_t2_oct1_k64,0.5125,0.5116
xof_t2_oct2_k1,0.503,0.5034
xof_t2_oct2_k4,0.5031,0.5035
xof_t2_oct2_k16,0.5031,0.5035
xof_t2_oct2_k64,0.5036,0.5039
xof_t2_oct3_k1,0.503,0.5034
xof_t2_oct3_k4,0.5032,0.5035
xof_t2_oct3_k16,0.5031,0.5035
xof_t2_oct3_k64,0.503,0.5034
xof_t3_region_k16,0.5032,0.5035
xof_t3_region_k64,0.5036,0.5038
xof_t3_region_k256,0.5055,0.5047
xof_t4_swap_oct0,1.0,1.0
xof_t4_swap_oct1,1.0,1.0
xof_t4_swap_oct2,0.9627,0.9257
xof_t4_swap_oct3,0.5743,0.5673
xof_t5_swap_R,1.0,1.0
xof_t5_swap_G,1.0,1.0
xof_t5_swap_B,0.987,0.9695
xof_t6_replace_general,1.0,1.0
xof_t6_calibration_row+30,1.0,1.0
