session,row,mode,sigma_target,achieved_delta_rms,achieved_delta_max,achieved_delta_p95,fraction_changed,fraction_clipped,score_baseline,score_perturbed,delta_score
D2,1328,A_rendered,0.1,0.04839553311467171,0.25524264574050903,0.09519056975841522,0.8294389512803819,0.016137017144097224,0.003697037941310555,0.0037498513236641886,5.281338235363364e-05
D2,1328,A_rendered,0.3,0.14073100686073303,0.7137254476547241,0.27592456340789795,0.9361724853515625,0.05568652682834201,0.003697037941310555,0.004064739122986794,0.00036770118167623895
D2,1328,A_rendered,0.5,0.22011873126029968,1.0,0.42664605379104614,0.957686530219184,0.12917073567708334,0.003697037941310555,0.004566310968948528,0.0008692730276379729
D2,1328,B_phase_g_input,0.1,0.09774968773126602,0.49591004848480225,0.19205601513385773,0.9113553365071615,0.03237872653537326,0.003697037941310555,0.0039029358769766985,0.00020589793566614355
D2,1328,B_phase_g_input,0.3,0.25788554549217224,1.0,0.4954248070716858,0.96412107679579,0.18028386433919272,0.003697037941310555,0.004908010619692505,0.0012109726783819498
D2,1328,B_phase_g_input,0.5,0.35156726837158203,1.0,0.6527233123779297,0.9745411343044705,0.3604231940375434,0.003697037941310555,0.005855403584428131,0.0021583656431175763
D2,1328,C_binder_resolution,0.1,0.05389227345585823,0.316111296415329,0.10604415088891983,0.8458056979709201,0.01744842529296875,0.003697037941310555,0.0037610231200233104,6.398517871275544e-05
D2,1328,C_binder_resolution,0.3,0.15563061833381653,0.8028357028961182,0.30440500378608704,0.9418457878960503,0.06652662489149305,0.003697037941310555,0.004158700362313539,0.00046166242100298405
D2,1328,C_binder_resolution,0.5,0.23984955251216888,1.0,0.4630357027053833,0.9610214233398438,0.1544528537326389,0.003697037941310555,0.004769056651275605,0.0010720187099650504
D2,1345,A_rendered,0.1,0.04824250936508179,0.24661040306091309,0.09487016499042511,0.8273188273111979,0.019263797336154513,0.00379079949343577,0.0038451717933639883,5.4372299928218126e-05
D2,1345,A_rendered,0.3,0.14013764262199402,0.7284872531890869,0.2749766409397125,0.9348309834798177,0.06143230862087674,0.00379079949343577,0.004161715909140185,0.0003709164157044147
D2,1345,A_rendered,0.5,0.21927909553050995,0.9711446762084961,0.42626285552978516,0.956343756781684,0.13500807020399305,0.00379079949343577,0.004655303701292723,0.0008645042078569529
D2,1345,B_phase_g_input,0.1,0.09747076779603958,0.534275233745575,0.19151560962200165,0.9098820156521268,0.03701824612087674,0.00379079949343577,0.003999963798560202,0.00020916430512443176
D2,1345,B_phase_g_input,0.3,0.25688400864601135,1.0,0.49506884813308716,0.9623031616210938,0.18574608696831596,0.00379079949343577,0.005000746611040085,0.001209947117604315
D2,1345,B_phase_g_input,0.5,0.351076602935791,1.0,0.6555555462837219,0.9727232191297743,0.36400477091471356,0.00379079949343577,0.00599779502954334,0.00220699553610757
D2,1345,C_binder_resolution,0.1,0.053808506578207016,0.29722464084625244,0.10589708387851715,0.8443128797743056,0.020584954155815974,0.00379079949343577,0.003861995687475428,7.119619403965797e-05
D2,1345,C_binder_resolution,0.3,0.15504634380340576,0.8425400853157043,0.3040013611316681,0.9402478535970052,0.0723453097873264,0.00379079949343577,0.004280628135893494,0.000489828642457724
D2,1345,C_binder_resolution,0.5,0.239090234041214,1.0,0.46302977204322815,0.9593683878580729,0.16044235229492188,0.00379079949343577,0.004872140294173733,0.0010813408007379626
D2,1362,A_rendered,0.1,0.04836755990982056,0.24219933152198792,0.09515302628278732,0.8292516072591146,0.016363779703776043,0.003735522081842646,0.0037896024354267866,5.408035358414045e-05
D2,1362,A_rendered,0.3,0.1407390534877777,0.7093521952629089,0.27592164278030396,0.9362114800347222,0.05610783894856771,0.003735522081842646,0.004100617591757327,0.00036509550991468097
D2,1362,A_rendered,0.5,0.22003349661827087,1.0,0.42701759934425354,0.9576445685492622,0.1292936537000868,0.003735522081842646,0.004552809661254287,0.0008172875794116409
D2,1362,B_phase_g_input,0.1,0.09778682142496109,0.49484574794769287,0.19212354719638824,0.9113655090332031,0.03251096937391493,0.003735522081842646,0.003928000491578132,0.0001924784097354854
D2,1362,B_phase_g_input,0.3,0.25785839557647705,1.0,0.4951804280281067,0.9639638264973959,0.18041017320421007,0.003735522081842646,0.0048954643425531685,0.0011599422607105224
D2,1362,B_phase_g_input,0.5,0.351351261138916,1.0,0.6514160633087158,0.9745025634765625,0.36002010769314235,0.003735522081842646,0.005838439997751266,0.00210291791590862
D2,1362,C_binder_resolution,0.1,0.05386042222380638,0.26608890295028687,0.1058962494134903,0.8456904093424479,0.017981211344401043,0.003735522081842646,0.003800936182960868,6.541410111822162e-05
D2,1362,C_binder_resolution,0.3,0.15555007755756378,0.7673203349113464,0.304385781288147,0.9417224460177951,0.06630749172634548,0.003735522081842646,0.004176666773855686,0.00044114469201303984
D2,1362,C_binder_resolution,0.5,0.23997387290000916,1.0,0.46339136362075806,0.9610570271809896,0.15452999538845485,0.003735522081842646,0.004739435878582299,0.001003913796739653
D2,1379,A_rendered,0.1,0.04842159524559975,0.2677196264266968,0.09528961777687073,0.8290557861328125,0.01604461669921875,0.003501873166533187,0.003556002676486969,5.4129509953781876e-05
D2,1379,A_rendered,0.3,0.1410141885280609,0.7099663019180298,0.27643883228302,0.9363691541883681,0.0542708502875434,0.003501873166533187,0.003905556653626263,0.0004036834870930761
D2,1379,A_rendered,0.5,0.22060249745845795,1.0,0.4279680848121643,0.9580256144205729,0.12725702921549478,0.003501873166533187,0.0044308569631539285,0.0009289837966207416
D2,1379,B_phase_g_input,0.1,0.09798543155193329,0.5063327550888062,0.1925208568572998,0.9116643269856771,0.031639946831597224,0.003501873166533187,0.0037161500775255265,0.00021427691099233951
D2,1379,B_phase_g_input,0.3,0.2585112154483795,1.0,0.495884507894516,0.9639150831434462,0.1784269544813368,0.003501873166533187,0.004757412930484861,0.001255539763951674
D2,1379,B_phase_g_input,0.5,0.3516148328781128,1.0,0.6484533548355103,0.9745267232259115,0.3587574428982205,0.003501873166533187,0.005710549687501043,0.002208676520967856
D2,1379,C_binder_resolution,0.1,0.053929589688777924,0.2909553647041321,0.10609449446201324,0.8456649780273438,0.017405192057291668,0.003501873166533187,0.0035782466758973895,7.637350936420253e-05
D2,1379,C_binder_resolution,0.3,0.1559198945760727,0.7836601138114929,0.30534350872039795,0.9421954684787326,0.06473880343967015,0.003501873166533187,0.00399299287237227,0.0004911197058390829
D2,1379,C_binder_resolution,0.5,0.2402571588754654,1.0,0.4637255072593689,0.9610468546549479,0.15221532185872397,0.003501873166533187,0.004595852689817548,0.0010939795232843609
D2,1396,A_rendered,0.1,0.048317912966012955,0.2523726224899292,0.09506438672542572,0.8280978732638888,0.01797273423936632,0.0035602913063485175,0.0036175716551952062,5.728034884668878e-05
D2,1396,A_rendered,0.3,0.14044784009456635,0.7058823108673096,0.2756173014640808,0.9352675543891059,0.05934566921657986,0.0035602913063485175,0.003979033842915669,0.000418742536567152
D2,1396,A_rendered,0.5,0.21937720477581024,1.0,0.42598235607147217,0.9567527770996094,0.13335376315646702,0.0035602913063485175,0.004464974399888888,0.0009046830935403702
D2,1396,B_phase_g_input,0.1,0.09767895936965942,0.5139439105987549,0.19204233586788177,0.9101812574598525,0.03493075900607639,0.0035602913063485175,0.0037665425857994705,0.000206251279450953
D2,1396,B_phase_g_input,0.3,0.25738781690597534,1.0,0.49607837200164795,0.9627092149522569,0.18482801649305555,0.0035602913063485175,0.004786288901232183,0.0012259975948836657
D2,1396,B_phase_g_input,0.5,0.35135725140571594,1.0,0.6561316251754761,0.9733064439561632,0.3631473117404514,0.0035602913063485175,0.005832653492689133,0.0022723621863406152
D2,1396,C_binder_resolution,0.1,0.05385206639766693,0.27877700328826904,0.10598446428775787,0.8446837531195747,0.019353230794270832,0.0035602913063485175,0.0036300867272075267,6.97954208590092e-05
D2,1396,C_binder_resolution,0.3,0.15518443286418915,0.8019608855247498,0.30392158031463623,0.940527598063151,0.0698606703016493,0.0035602913063485175,0.004061423824168742,0.0005011325178202243
D2,1396,C_binder_resolution,0.5,0.23919403553009033,1.0,0.4627450704574585,0.960274166531033,0.15825313991970485,0.0035602913063485175,0.004654918139567599,0.0010946268332190814
D2,1413,A_rendered,0.1,0.04838535934686661,0.24224549531936646,0.09522111713886261,0.8296835157606337,0.014737870958116319,0.003423879644833505,0.0034836204024031757,5.974075756967059e-05
